Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 72: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 73: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 74: (+7/9) 2 × T1 | R%: 9.26% (1 in 10.799) | 17.1 ★ [+12.6]
Roll 75: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 76: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 77: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 78: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 79: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 80: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 81: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 82: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 83: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 84: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 85: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 86: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 87: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 88: 3 × T3 | R%: 0.171% (1 in 583.125) | 126.14 ★
Roll 89: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 90: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 91: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 92: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 93: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 94: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 95: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 96: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 97: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 98: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 99: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 100: (+5/8) 3 × T1 | R%: 1.543% (1 in 64.792) | 24.0 ★ [+16.0]
Roll 101: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 102: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 103: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 104: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 105: (+12/13) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.8 ★ [+4.8]
Roll 106: (+13/14) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.2 ★ [+5.2]
Roll 107: (+14/16) 2 × T1 | R%: 9.26% (1 in 10.799) | 29.7 ★ [+25.2]
Roll 108: (+16/17) 1 × T1 | R%: 55.563% (1 in 1.8) | 7.4 ★ [+6.4]
Roll 109: (+17/18) 1 × T1 | R%: 55.563% (1 in 1.8) | 7.8 ★ [+6.8]
Roll 110: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 111: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 112: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 113: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 114: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 115: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 116: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 117: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 118: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 119: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 120: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 121: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 122: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 123: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 124: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 125: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 126: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 127: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 128: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 129: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 130: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 131: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 132: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 133: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 134: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 135: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 136: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 137: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 138: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 139: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 140: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 141: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 142: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 143: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 144: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 145: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 146: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 147: (+1/2) 1 × T4 | R%: 2.058% (1 in 48.594) | 206.58 ★ [+59.02]
Roll 148: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 149: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 150: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 151: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 152: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 153: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 154: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 155: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 156: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 157: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 158: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 159: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 160: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 161: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 162: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 163: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 164: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 165: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 166: (+11/13) 2 × T1 | R%: 9.26% (1 in 10.799) | 24.3 ★ [+19.8]
Roll 167: (+13/14) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.2 ★ [+5.2]
Roll 168: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 169: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 170: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 171: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 172: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 173: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 174: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 175: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 176: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 177: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 178: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 179: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 180: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 181: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 182: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 183: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 184: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 185: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 186: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 187: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 188: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 189: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 190: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 191: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 192: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 193: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 194: (+8/10) 2 × T1 | R%: 9.26% (1 in 10.799) | 18.9 ★ [+14.4]
Roll 195: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 196: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 197: (+12/13) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.8 ★ [+4.8]
Roll 198: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 199: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 200: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 201: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 202: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 203: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 204: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 205: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 206: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 207: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 208: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 209: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 210: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 211: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 212: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 213: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 214: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 215: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 216: (+1/4) 3 × T2 | R%: 0.514% (1 in 194.375) | 47.95 ★ [+13.7]
Roll 217: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 218: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 219: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 220: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 221: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 222: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 223: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 224: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 225: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 226: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 227: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 228: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 229: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 230: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 231: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 232: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 233: 3 × T2 | R%: 0.514% (1 in 194.375) | 34.25 ★
Roll 234: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 235: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 236: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 237: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 238: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 239: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 240: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 241: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 242: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 243: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 244: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 245: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 246: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 247: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 248: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 249: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 250: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 251: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 252: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 253: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 254: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 255: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 256: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 257: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 258: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 259: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 260: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 261: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 262: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 263: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 264: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 265: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 266: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 267: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 268: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 269: (+6/8) 2 × T1 | R%: 9.26% (1 in 10.799) | 15.3 ★ [+10.8]
Roll 270: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 271: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 272: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 273: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 274: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 275: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 276: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 277: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 278: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 279: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 280: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 281: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 282: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 283: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 284: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 285: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 286: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 287: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 288: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 289: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 290: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 291: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 292: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 293: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 294: (+9/11) 2 × T1 | R%: 9.26% (1 in 10.799) | 20.7 ★ [+16.2]
Roll 295: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 296: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 297: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
